ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
546	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594363	76594447
558	"ENSMUSG00000022552.16"	"Sharpin"	chr15	-	76347481	76348004	76347481	76347594	76347895	76348004
570	"ENSMUSG00000052752.15"	"Traf7"	chr17	-	24509955	24510572	24509955	24510075	24510455	24510572
574	"ENSMUSG00000022558.16"	"Mroh1"	chr15	+	76427511	76428385	76427511	76427656	76428243	76428385
582	"ENSMUSG00000002372.9"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890
587	"ENSMUSG00000046711.16"	"Hmga1"	chr17	+	27556667	27557066	27556667	27556749	27556951	27557066
614	"ENSMUSG00000022111.9"	"Uchl3"	chr14	+	101665760	101668576	101665760	101665889	101668528	101668576
632	"ENSMUSG00000025272.16"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150649547	150649655
661	"ENSMUSG00000022211.9"	"Carmil3"	chr14	+	55501458	55502433	55501458	55501593	55502224	55502433
684	"ENSMUSG00000006289.14"	"Osgep"	chr14	-	50916799	50917503	50916799	50916865	50917453	50917503
693	"ENSMUSG00000053205.9"	"Styx"	chr14	+	45367681	45368471	45367681	45367718	45368420	45368471
700	"ENSMUSG00000046169.10"	"Adamts6"	chr13	+	104444814	104445704	104444814	104444953	104445615	104445704
706	"ENSMUSG00000115987.1"	"Vps28"	chr15	-	76623170	76624175	76623170	76623272	76624085	76624175
744	"ENSMUSG00000021692.9"	"Dimt1"	chr13	+	106948700	106949785	106948700	106948787	106949691	106949785
806	"ENSMUSG00000038518.15"	"Jarid2"	chr13	+	44910536	44913286	44910536	44910607	44913180	44913286
870	"ENSMUSG00000073433.11"	"Arhgdig"	chr17	-	26199751	26200370	26199751	26199828	26200190	26200370
897	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371558	84370255	84371031	84371450	84371558
976	"ENSMUSG00000020719.14"	"Ddx5"	chr11	-	106782468	106784018	106782468	106782684	106783958	106784018
995	"ENSMUSG00000008855.17"	"Hdac5"	chr11	-	102196538	102197436	102196538	102196672	102197338	102197436
1006	"ENSMUSG00000039307.16"	"Hexdc"	chr11	+	121220863	121221590	121220863	121221161	121221500	121221590
1023	"ENSMUSG00000024948.15"	"Map4k2"	chr19	+	6341766	6342310	6341766	6341834	6342254	6342310
1041	"ENSMUSG00000026349.14"	"Ccnt2"	chr1	+	127791604	127795800	127791604	127791733	127795254	127795800
1050	"ENSMUSG00000022489.6"	"Pde1b"	chr15	+	103526983	103528344	103526983	103527092	103528221	103528344
1065	"ENSMUSG00000017405.14"	"Nek8"	chr11	-	78170872	78172683	78170872	78170952	78172450	78172683
1067	"ENSMUSG00000000632.13"	"Sez6"	chr11	+	77973782	77974636	77973782	77973977	77974439	77974636
1118	"ENSMUSG00000001034.17"	"Mapk7"	chr11	-	61492903	61494266	61492903	61493185	61493646	61494266
1131	"ENSMUSG00000022756.17"	"Slc7a4"	chr16	-	17573555	17574586	17573555	17573664	17574473	17574586
1186	"ENSMUSG00000023764.18"	"Sfi1"	chr11	-	3133071	3135542	3133071	3133207	3134625	3135542
1187	"ENSMUSG00000023764.18"	"Sfi1"	chr11	-	3133071	3135542	3133071	3133207	3135282	3135542
1218	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161037315	161035982	161036014	161036819	161037315
1219	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161037315	161035982	161036244	161036819	161037315
1265	"ENSMUSG00000040136.10"	"Abcc8"	chr7	-	46108314	46109643	46108314	46108435	46109540	46109643
1285	"ENSMUSG00000004933.17"	"Matk"	chr10	+	81261630	81262156	81261630	81261715	81261960	81262156
1294	"ENSMUSG00000055862.7"	"Izumo4"	chr10	+	80703729	80705373	80703729	80703928	80704417	80705373
1331	"ENSMUSG00000056167.8"	"Cnot10"	chr9	-	114597478	114598835	114597478	114597606	114598704	114598835
1344	"ENSMUSG00000007603.9"	"Dus3l"	chr17	+	56768347	56768902	56768347	56768413	56768805	56768902
1373	"ENSMUSG00000019802.13"	"Sec63"	chr10	+	42796205	42798855	42796205	42796264	42798746	42798855
1378	"ENSMUSG00000021901.10"	"Bap1"	chr14	+	31257880	31258530	31257880	31258041	31258457	31258530
1381	"ENSMUSG00000022614.8"	"Lmf2"	chr15	-	89352358	89352955	89352358	89352527	89352858	89352955
1384	"ENSMUSG00000061689.15"	"Dlgap4"	chr2	+	156748022	156748420	156748022	156748102	156748331	156748420
1461	"ENSMUSG00000041528.15"	"Rnf123"	chr9	-	108069171	108069801	108069171	108069282	108069675	108069801
1530	"ENSMUSG00000041064.14"	"Pif1"	chr9	+	65589004	65589604	65589004	65589137	65589450	65589604
1573	"ENSMUSG00000021240.6"	"Abcd4"	chr12	-	84612324	84612896	84612324	84612445	84612779	84612896
1583	"ENSMUSG00000032115.14"	"Hyou1"	chr9	+	44380815	44381408	44380815	44380909	44381253	44381408
1590	"ENSMUSG00000032120.11"	"C2cd2l"	chr9	-	44313877	44315054	44313877	44314011	44314879	44315054
1591	"ENSMUSG00000032120.11"	"C2cd2l"	chr9	-	44313877	44315054	44313877	44314014	44314879	44315054
1600	"ENSMUSG00000022255.16"	"Mtdh"	chr15	+	34114023	34118110	34114023	34114108	34117879	34118110
1668	"ENSMUSG00000031939.16"	"Taf1d"	chr9	+	15311526	15314032	15311526	15311695	15313989	15314032
1689	"ENSMUSG00000039048.15"	"Foxred1"	chr9	-	35209037	35210165	35209037	35209156	35209944	35210165
1738	"ENSMUSG00000022721.19"	"Trmt2a"	chr16	+	18250819	18251660	18250819	18251001	18251358	18251660
1741	"ENSMUSG00000031796.7"	"Cfap20"	chr8	-	95420248	95422246	95420248	95420669	95422057	95422246
1831	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079691	85080053	85080225
1834	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079788	85080225	85079788	85079837	85080060	85080225
1835	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079691	85080119	85080225
1836	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079707	85080119	85080225
1839	"ENSMUSG00000031691.14"	"Tnpo2"	chr8	+	85054721	85055253	85054721	85054797	85055178	85055253
1878	"ENSMUSG00000031878.18"	"Nae1"	chr8	-	104527377	104530116	104527377	104527449	104530055	104530116
1886	"ENSMUSG00000037552.17"	"Plekhg2"	chr7	-	28370237	28371042	28370237	28370494	28370877	28371042
1947	"ENSMUSG00000030815.11"	"Phkg2"	chr7	+	127577534	127578029	127577534	127577688	127577974	127578029
1967	"ENSMUSG00000030741.15"	"Spns1"	chr7	-	126373769	126375203	126373769	126373836	126375066	126375203
1988	"ENSMUSG00000070425.13"	"Xntrpc"	chr7	+	102082040	102083018	102082040	102082441	102082972	102083018
2004	"ENSMUSG00000028245.15"	"Nsmaf"	chr4	-	6418471	6421136	6418471	6418523	6420049	6421136
2012	"ENSMUSG00000021868.7"	"Ppif"	chr14	+	25696003	25698341	25696003	25696092	25698265	25698341
2101	"ENSMUSG00000022685.9"	"Parn"	chr16	-	13664655	13665981	13664655	13664737	13665901	13665981
2205	"ENSMUSG00000040532.14"	"Abhd11"	chr5	+	135010886	135011665	135010886	135011060	135011483	135011665
2240	"ENSMUSG00000029599.13"	"Ddx54"	chr5	+	120620257	120620758	120620257	120620379	120620626	120620758
2274	"ENSMUSG00000053253.16"	"Ndfip2"	chr14	+	105298002	105304836	105298002	105298127	105304730	105304836
2283	"ENSMUSG00000074923.10"	"Pak6"	chr2	+	118693866	118694640	118693866	118694000	118694514	118694640
2288	"ENSMUSG00000026878.17"	"Rab14"	chr2	-	35180204	35183831	35180204	35182447	35183743	35183831
2303	"ENSMUSG00000073889.10"	"Il11ra1"	chr4	+	41763824	41765121	41763824	41763885	41765006	41765121
2336	"ENSMUSG00000033991.9"	"Ttc37"	chr13	+	76134674	76135305	76134674	76134851	76135226	76135305
2412	"ENSMUSG00000024104.11"	"Washc2"	chr6	+	116254089	116255168	116254089	116254218	116255048	116255168
2443	"ENSMUSG00000030032.12"	"Wdr54"	chr6	-	83153516	83154975	83153516	83153617	83154921	83154975
2524	"ENSMUSG00000003549.9"	"Ercc1"	chr7	+	19355100	19355361	19355100	19355179	19355292	19355361
2541	"ENSMUSG00000023367.14"	"Tmem176a"	chr6	+	48842203	48843841	48842203	48842401	48843784	48843841
2562	"ENSMUSG00000020952.10"	"Scfd1"	chr12	+	51392182	51396735	51392182	51392270	51396679	51396735
2567	"ENSMUSG00000062729.11"	"Ppox"	chr1	-	171279429	171280001	171279429	171279593	171279868	171280001
2657	"ENSMUSG00000036948.17"	"Map11"	chr5	-	138262169	138262744	138262169	138262317	138262657	138262744
2674	"ENSMUSG00000020898.18"	"Ctc1"	chr11	+	69021029	69022614	69021029	69021115	69022392	69022614
2681	"ENSMUSG00000013858.14"	"Tmem259"	chr10	-	79977962	79978605	79977962	79978320	79978547	79978605
2689	"ENSMUSG00000019039.14"	"Dalrd3"	chr9	+	108571044	108571674	108571044	108571173	108571612	108571674
2690	"ENSMUSG00000019039.14"	"Dalrd3"	chr9	+	108571781	108572297	108571781	108571864	108572186	108572297
2708	"ENSMUSG00000000915.15"	"Hip1r"	chr5	+	124000711	124001311	124000711	124000774	124001205	124001311
2714	"ENSMUSG00000020156.16"	"Pwwp3a"	chr10	+	80236110	80238920	80236110	80236181	80238859	80238920
2832	"ENSMUSG00000026958.13"	"Dpp7"	chr2	-	25353152	25354293	25353152	25353217	25354232	25354293
2854	"ENSMUSG00000047215.14"	"Rpl9"	chr5	-	65388363	65389151	65388363	65388441	65389070	65389151
2910	"ENSMUSG00000037266.18"	"Rsrp1"	chr4	+	134925292	134926818	134925292	134925432	134926025	134926818
2953	"ENSMUSG00000084845.9"	"Tmem240"	chr4	+	155735397	155740564	155735397	155735504	155739845	155740564
2963	"ENSMUSG00000017721.15"	"Pigt"	chr2	+	164501080	164501650	164501080	164501168	164501484	164501650
2966	"ENSMUSG00000028028.11"	"Alpk1"	chr3	-	127684341	127686343	127684341	127684437	127686256	127686343
2967	"ENSMUSG00000028991.15"	"Mtor"	chr4	+	148452256	148453990	148452256	148452432	148453757	148453990
2981	"ENSMUSG00000030204.10"	"Ddx47"	chr6	+	135018973	135021578	135018973	135019111	135021448	135021578
2990	"ENSMUSG00000078765.11"	"U2af1l4"	chr7	+	30564202	30564607	30564202	30564394	30564473	30564607
3029	"ENSMUSG00000039382.12"	"Wdr45"	chrX	+	7723314	7723753	7723314	7723357	7723564	7723753
3037	"ENSMUSG00000028034.15"	"Fubp1"	chr3	+	152232394	152236826	152232394	152234570	152236606	152236826
3097	"ENSMUSG00000028582.14"	"Cc2d1b"	chr4	+	108625980	108626590	108625980	108626153	108626479	108626590
3107	"ENSMUSG00000022996.15"	"Wnt10b"	chr15	-	98774123	98774497	98774123	98774184	98774411	98774497
3120	"ENSMUSG00000029054.8"	"Gabrd"	chr4	-	155385934	155387291	155385934	155386146	155387153	155387291
3205	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569829	43569955
3241	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718655	134718818
3290	"ENSMUSG00000037318.10"	"Traf3ip3"	chr1	-	193194824	193195422	193194824	193194849	193195274	193195422
3323	"ENSMUSG00000008206.16"	"Cers4"	chr8	+	4519462	4520682	4519462	4519513	4520553	4520682
3330	"ENSMUSG00000006215.12"	"Zbtb17"	chr4	+	141465523	141466107	141465523	141465640	141465976	141466107
3333	"ENSMUSG00000030310.10"	"Slc6a1"	chr6	+	114301862	114302631	114301862	114301997	114302499	114302631
3347	"ENSMUSG00000040472.15"	"Rabggta"	chr14	-	55719090	55719531	55719090	55719142	55719429	55719531
3366	"ENSMUSG00000025733.17"	"Rhot2"	chr17	-	25839984	25840568	25839984	25840107	25840437	25840568
3414	"ENSMUSG00000027582.16"	"Zgpat"	chr2	+	181379773	181382314	181379773	181380179	181382193	181382314
3418	"ENSMUSG00000028041.17"	"Adam15"	chr3	-	89344117	89344854	89344117	89344210	89344705	89344854
3431	"ENSMUSG00000032067.6"	"Pts"	chr9	-	50524722	50526949	50524722	50524779	50526869	50526949
3443	"ENSMUSG00000001416.13"	"Cct3"	chr3	+	88299341	88300991	88299341	88299403	88300928	88300991
3451	"ENSMUSG00000002833.11"	"Hdgfl2"	chr17	+	56098483	56099075	56098483	56098557	56098973	56099075
3454	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103174339	103177419	103174339	103174501	103177338	103177419
3460	"ENSMUSG00000059326.7"	"Csf2ra"	chr19	-	61225522	61226384	61225522	61225652	61225927	61226384
3461	"ENSMUSG00000059326.7"	"Csf2ra"	chr19	-	61225522	61226384	61225522	61225652	61226214	61226384
3474	"ENSMUSG00000024764.10"	"Naa40"	chr19	-	7229721	7230283	7229721	7229805	7230187	7230283
3482	"ENSMUSG00000109776.1"	"Gm30400"	chr10	+	78764245	78765559	78764245	78764486	78765472	78765559
3489	"ENSMUSG00000038930.11"	"Rccd1"	chr7	-	80320091	80321181	80320091	80320213	80320861	80321181
3495	"ENSMUSG00000027936.18"	"Crtc2"	chr3	+	90258464	90259492	90258464	90258526	90259385	90259492
3536	"ENSMUSG00000016346.17"	"Kcnq2"	chr2	-	181113062	181114729	181113062	181113238	181114638	181114729
3540	"ENSMUSG00000038990.14"	"Cables2"	chr2	-	180261076	180263155	180261076	180261180	180263077	180263155
3550	"ENSMUSG00000031578.5"	"Mak16"	chr8	-	31166061	31166632	31166061	31166213	31166522	31166632
3565	"ENSMUSG00000026848.14"	"Tor1b"	chr2	+	30953751	30955953	30953751	30954008	30955777	30955953
3619	"ENSMUSG00000056941.17"	"Commd7"	chr2	-	153618833	153621819	153618833	153619512	153621769	153621819
3653	"ENSMUSG00000033526.16"	"Ppip5k1"	chr2	-	121348693	121349565	121348693	121348848	121349474	121349565
3656	"ENSMUSG00000027298.17"	"Tyro3"	chr2	+	119812059	119813299	119812059	119812181	119813162	119813299
3676	"ENSMUSG00000042558.16"	"Adprhl2"	chr4	-	126317302	126318191	126317302	126317403	126317983	126318191
3680	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116839837	116840545	116839837	116839931	116840447	116840545
3681	"ENSMUSG00000038900.17"	"Rpl12"	chr2	+	32962984	32963853	32962984	32963066	32963740	32963853
3733	"ENSMUSG00000005625.15"	"Psmd4"	chr3	-	95034941	95035924	95034941	95035010	95035809	95035924
3758	"ENSMUSG00000031708.17"	"Tecr"	chr8	-	83572840	83573323	83572840	83572946	83573219	83573323
3798	"ENSMUSG00000027575.19"	"Arfgap1"	chr2	+	180972694	180974156	180972694	180972795	180974059	180974156
3823	"ENSMUSG00000026754.16"	"Golga1"	chr2	-	39047022	39047766	39047022	39047134	39047585	39047766
3855	"ENSMUSG00000068329.12"	"Htra2"	chr6	-	83052697	83053070	83052697	83052726	83053000	83053070
3856	"ENSMUSG00000068329.12"	"Htra2"	chr6	-	83052697	83053070	83052697	83052803	83053000	83053070
3874	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915784	26915954	26916006
3878	"ENSMUSG00000027291.15"	"Vps39"	chr2	-	120323032	120324289	120323032	120323161	120324190	120324289
3882	"ENSMUSG00000005575.16"	"Ube2m"	chr7	-	13035237	13036315	13035237	13035754	13036211	13036315
3914	"ENSMUSG00000006906.10"	"Stambp"	chr6	-	83563822	83570519	83563822	83563918	83570302	83570519
3960	"ENSMUSG00000062906.12"	"Hdac10"	chr15	-	89126377	89126995	89126377	89126437	89126868	89126995
3969	"ENSMUSG00000025158.7"	"Rfng"	chr11	-	120782382	120783160	120782382	120782548	120783006	120783160
3995	"ENSMUSG00000027944.13"	"Hax1"	chr3	-	89997386	89998003	89997386	89997574	89997801	89998003
4011	"ENSMUSG00000028621.17"	"Cyb5rl"	chr4	+	107068611	107070547	107068611	107068823	107070115	107070547
4043	"ENSMUSG00000006301.17"	"Tmbim1"	chr1	-	74291694	74292888	74291694	74291734	74292834	74292888
4122	"ENSMUSG00000026269.14"	"Rnpepl1"	chr1	+	92916710	92917746	92916710	92916946	92917633	92917746
4187	"ENSMUSG00000024645.5"	"Timm21"	chr18	-	84947833	84949291	84947833	84947939	84949193	84949291
4209	"ENSMUSG00000027238.17"	"Frmd5"	chr2	-	121545528	121548023	121545528	121547648	121547971	121548023
4227	"ENSMUSG00000017756.9"	"Slc12a7"	chr13	+	73788564	73790780	73788564	73788711	73790649	73790780
4246	"ENSMUSG00000002897.5"	"Il17ra"	chr6	+	120477395	120478482	120477395	120477480	120478374	120478482
